rank,property_id,address,latitude,longitude,price,currency,bathrooms,bedrooms,area,land_area,zestimate,rent_zestimate,days_on_zillow,sold_date,is_zillow_owned,image,listing_type,broker_name,input,property_url,listing_url
205,70983496,"109 Sunrise Fls, Cibolo, TX 78108",29.599431,-98.254866,296000,USD,3,3,2294.0 sqft,,270100,2024,0,,FALSE,https://photos.zillowstatic.com/fp/41ca49058594aa920764c275348a1a5b-p_e.jpg,House for sale,Opendoor Brokerage LLC,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/109-Sunrise-Fls-Cibolo-TX-78108/70983496_zpid/,https://www.zillow.com/homes/TX_rb/6_p/
711,30429260,"299 Mount Whitney Way, Lake Placid, NY 12946",44.306944,-73.950285,1995000,USD,5,4,3000.0 sqft,,,,0,,FALSE,https://photos.zillowstatic.com/fp/3071787e4e53ff37262f4f8a7e28b740-p_e.jpg,House for sale,"Listing by: Merrill L. Thomas, Inc.",https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/299-Mount-Whitney-Way-Lake-Placid-NY-12946/30429260_zpid/,https://www.zillow.com/homes/NY_rb/18_p/
66,97629907,"2910 Persimmon Grv, Richmond, TX 77469",29.557442,-95.751786,425000,USD,3,2,2575.0 sqft,,436000,2967,0,,FALSE,https://photos.zillowstatic.com/fp/f4716b346d1f1ed2de4aa9feffaca33a-p_e.jpg,House for sale,CENTURY 21 Western Realty,https://www.zillow.com/homes/TX_rb/,https://www.zillow.com/homedetails/2910-Persimmon-Grv-Richmond-TX-77469/97629907_zpid/,https://www.zillow.com/homes/TX_rb/2_p/
222,240296342,"19251 E State Route 106, Belfair, WA 98528",47.427678,-122.855113,895000,USD,2,2,1248.0 sqft,,,1969,0,,FALSE,https://photos.zillowstatic.com/fp/690e2ee9c080ca2569a879c42777d3ee-p_e.jpg,Active,,https://www.zillow.com/homes/WA_rb/,https://www.zillow.com/homedetails/19251-E-State-Route-106-Belfair-WA-98528/240296342_zpid/,https://www.zillow.com/homes/WA_rb/6_p/
444,2076995275,"Clover Plan, The Alpine Collection at Altaira at High Point",39.81367,-104.765885,391500,USD,3,4,1752.0 sqft,,,1756,9,,FALSE,https://photos.zillowstatic.com/fp/9b2ae0d3768684967fdcd6cfd81b1039-p_e.jpg,New construction,,"https://www.zillow.com/homes/denver,-co_rb/",https://www.zillow.com/community/alpine-collection-at-altaira-at-high-point/2076995275_zpid/,"https://www.zillow.com/homes/denver,-co_rb/12_p/"
209,61946745,"332 C St SW, Ephrata, WA 98823",47.31756,-119.555181,225000,USD,1,3,2053.0 sqft,,231400,1497,0,,FALSE,https://photos.zillowstatic.com/fp/8598223964474256af62905368ede282-p_e.jpg,Active,,https://www.zillow.com/homes/WA_rb/,https://www.zillow.com/homedetails/332-C-St-SW-Ephrata-WA-98823/61946745_zpid/,https://www.zillow.com/homes/WA_rb/6_p/
361,2067947748,"1 5th Ave #13AJK, New York, NY 10003",40.731899,-73.9962,5500000,USD,3,5,,,,,0,,FALSE,https://photos.zillowstatic.com/fp/2cf5832695674deb50d1f53301f8946d-p_e.jpg,Condo for sale,Listing by: Douglas Elliman,https://www.zillow.com/homes/NY_rb/,https://www.zillow.com/homedetails/1-5th-Ave-13AJK-New-York-NY-10003/2067947748_zpid/,https://www.zillow.com/homes/NY_rb/10_p/
740,96666043,"5040 Martin Luther King Jr Way S #B, Seattle, WA 98118",47.555955,-122.290041,535000,USD,2,2,960.0 sqft,,510900,2358,0,,FALSE,https://photos.zillowstatic.com/fp/c33a3f681ba7e56c6bab4772ad75bc6b-p_e.jpg,Active,,https://www.zillow.com/homes/WA_rb/,https://www.zillow.com/homedetails/5040-Martin-Luther-King-Jr-Way-S-B-Seattle-WA-98118/96666043_zpid/,https://www.zillow.com/homes/WA_rb/19_p/
24,16713230,"545 Ocean View Ave, Encinitas, CA 92024",33.058939,-117.291904,2799900,USD,4,4,3164.0 sqft,,2951100,8486,9,,FALSE,https://photos.zillowstatic.com/fp/5df598bdc169d389a30c47ba1e67ec64-p_e.jpg,House for sale,"eXp Realty of California, Inc.","https://www.zillow.com/homes/Encinitas,-CA_rb/",https://www.zillow.com/homedetails/545-Ocean-View-Ave-Encinitas-CA-92024/16713230_zpid/,"https://www.zillow.com/homes/Encinitas,-CA_rb/"
728,72109285,"350 11th Ave UNIT 224, San Diego, CA 92101",32.708987,-117.154838,674900,USD,2,2,1078.0 sqft,,,,25,,FALSE,https://photos.zillowstatic.com/fp/057244ef1708e132ddbb5f5cff22839c-p_e.jpg,Condo for sale,,"https://www.zillow.com/homes/San-Diego,-CA_rb/",https://www.zillow.com/homedetails/350-11th-Ave-UNIT-224-San-Diego-CA-92101/72109285_zpid/,"https://www.zillow.com/homes/San-Diego,-CA_rb/19_p/"
