rank,property_id,address,latitude,longitude,price,currency,bathrooms,bedrooms,area,land_area,zestimate,rent_zestimate,days_on_zillow,sold_date,is_zillow_owned,image,listing_type,broker_name,input,property_url,listing_url
532,247261885,"2863 Spring Rose Cir, Coralville, IA 52241",41.704755,-91.6137,529900,USD,4,4,2891.0 sqft,,,1032,2,,FALSE,https://photos.zillowstatic.com/fp/eb14d416f9d5b831d9491a9d06bc6172-p_e.jpg,House for sale,,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/2863-Spring-Rose-Cir-Coralville-IA-52241/247261885_zpid/,https://www.zillow.com/homes/IA_rb/14_p/
51,76679888,"215 3rd Ave SW, Waverly, IA 50677",42.722563,-92.473925,164950,USD,2,3,1711.0 sqft,,143400,1200,0,,FALSE,https://photos.zillowstatic.com/fp/8d31246462f60eed5e7a2418a63551f4-p_e.jpg,House for sale,Coldwell Banker Elevated Real Estate,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/215-3rd-Ave-SW-Waverly-IA-50677/76679888_zpid/,https://www.zillow.com/homes/IA_rb/2_p/
231,238337348,"813 Cherry St NW, Bondurant, IA 50035",41.710072,-93.466078,234900,USD,2,3,1168.0 sqft,,,688,0,,FALSE,https://photos.zillowstatic.com/fp/178a6eebb6d60fe245c86d4fe556dab2-p_e.jpg,New construction,RE/MAX Concepts,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/813-Cherry-St-NW-Bondurant-IA-50035/238337348_zpid/,https://www.zillow.com/homes/IA_rb/6_p/
796,803919,"2405 36th St, Des Moines, IA 50310",41.616056,-93.665458,99900,USD,1,2,752.0 sqft,,122000,1116,3,,FALSE,https://photos.zillowstatic.com/fp/0c099b048cb40dc593a84d57942701f1-p_e.jpg,House for sale,Keller Williams Realty GDM,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/2405-36th-St-Des-Moines-IA-50310/803919_zpid/,https://www.zillow.com/homes/IA_rb/20_p/
429,76832920,"1418 Dorene Blvd, Carter Lake, IA 51510",41.288925,-95.910227,117500,USD,1,2,925.0 sqft,,116400,1132,1,,FALSE,https://photos.zillowstatic.com/fp/5926ffffd68b01a99eaa9ac5800beb23-p_e.jpg,House for sale,,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/1418-Dorene-Blvd-Carter-Lake-IA-51510/76832920_zpid/,https://www.zillow.com/homes/IA_rb/11_p/
108,86879884,"1527 Mamie Eisenhower Ave, Boone, IA 50036",42.059965,-93.868692,74900,USD,1,2,1026.0 sqft,,74448,893,0,,FALSE,https://photos.zillowstatic.com/fp/7cddfdc821659f584826259f64659e3f-p_e.jpg,House for sale,,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/1527-Mamie-Eisenhower-Ave-Boone-IA-50036/86879884_zpid/,https://www.zillow.com/homes/IA_rb/3_p/
76,76895419,"1310 25th Ave N, Fort Dodge, IA 50501",42.530415,-94.180272,134250,USD,1.8,3,1364.0 sqft,,129520,929,0,,FALSE,https://photos.zillowstatic.com/fp/e20ba3f758eb05b4ff665ed11c7ce742-p_e.jpg,House for sale,,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/1310-25th-Ave-N-Fort-Dodge-IA-50501/76895419_zpid/,https://www.zillow.com/homes/IA_rb/2_p/
706,76766140,"702 W Park Rd, Iowa City, IA 52246",41.671902,-91.548823,400000,USD,3,4,2442.0 sqft,,395100,1964,3,,FALSE,https://photos.zillowstatic.com/fp/fd31a6fd9784298c761c627f34105eea-p_e.jpg,House for sale,,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/702-W-Park-Rd-Iowa-City-IA-52246/76766140_zpid/,https://www.zillow.com/homes/IA_rb/18_p/
535,87031597,"519 Main St, Muscatine, IA 52761",41.416293,-91.058504,76900,USD,1,2,1452.0 sqft,,74671,771,2,,FALSE,https://photos.zillowstatic.com/fp/7fe0c6c99f964df892da1600cb7bf208-p_e.jpg,House for sale,,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/519-Main-St-Muscatine-IA-52761/87031597_zpid/,https://www.zillow.com/homes/IA_rb/14_p/
133,859850,"200 Jordan Dr, West Des Moines, IA 50265",41.573012,-93.749948,265000,USD,3,3,1144.0 sqft,,261000,1599,0,,FALSE,https://photos.zillowstatic.com/fp/ec46810b0cbf8056d977e94abf5fe13d-p_e.jpg,House for sale,RE/MAX Concepts,https://www.zillow.com/homes/IA_rb/,https://www.zillow.com/homedetails/200-Jordan-Dr-West-Des-Moines-IA-50265/859850_zpid/,https://www.zillow.com/homes/IA_rb/4_p/
