address,zip,BuildingType,CalendarYear built,HeatingHeating,SnowflakeCooling,ParkingParking,HOAHOA,LotLot,Price Square FeetPrice/sqft,Rent,Mortgage fees per month,Mortgage fees per year,Walk Score,School Rank,Violent Crime,Property Crime
"2863 Spring Rose Cir, Coralville, IA 52241",52241,Single Family Residence,2018,Central Forced Air Natural Gas,Ceiling Fan(s) Central Air,1,405,,183,,1126,13512,16,11,759,3127
"215 3rd Ave SW, Waverly, IA 50677",50677,Single Family Residence,1900,Forced Air Natural Gas,Central Air,2,,7405,96,,351,4206,72,49,,
"813 Cherry St NW, Bondurant, IA 50035",50035,Townhouse,2021,Forced Air Gas Natural Gas,Central Air,2,120,3049,201,,499,5990,15,64,,
"2405 36th St, Des Moines, IA 50310",50310,Single Family Residence,1925,Forced Air Gas,Central Air,,,6969,133,,212,2547,51,38,3127,4091
"1418 Dorene Blvd, Carter Lake, IA 51510",51510,,,,,,,,,,,,35,145,,
"1527 Mamie Eisenhower Ave, Boone, IA 50036",50036,Single Family Residence,1914,Forced Air Gas Natural Gas,Central Air,1,,6969,73,,159,1910,46,123,4091,1133
"1310 25th Ave N, Fort Dodge, IA 50501",50501,SINGLE_FAMILY,1965,Forced air Gas,Central,1,,6969,98,,285,3423,20,157,1133,3020
"702 W Park Rd, Iowa City, IA 52246",52246,Single Family Residence,1940,Natural Gas Central Forced Air Ceiling Electric,Electric Ceiling Fan(s),2,,47916,164,,850,10200,15,13,3020,1618
"519 Main St, Muscatine, IA 52761",52761,SINGLE_FAMILY,1890,Forced air Gas,Central,,,7405,53,,163,1961,52,126,1618,1343
"200 Jordan Dr, West Des Moines, IA 50265",50265,Single Family Residence,1974,Forced Air Gas Natural Gas,Central Air,2,,12632,232,,563,6758,53,34,,
"120 S Cardinal Dr APT 10, Clarinda, IA 51632",51632,Townhouse,1999,Forced Air,Central Air,2,,6969,86,,529,6350,35,147,1343,1551
"2084 Wedgewood Dr, Asbury, IA 52002",52002,SINGLE FAMILY - DETACHED,2003,Forced Air,Central Air,3,120,27878,156,,1167,14000,0,73,,
"1675 Golf Course Blvd LOT 55, Independence, IA 50644",50644,SINGLE_FAMILY,1981,Forced air Propane / Butane,Central,,,849420,131,,335,4016,3,131,1551,1315
"118 13th Ave E, Oskaloosa, IA 52577",52577,,,,,,,,,,,,27,139,1315,1787
"729 20th St, West Des Moines, IA 50265",50265,Single Family Residence,1955,Forced Air Gas Natural Gas,Central Air,2,,8276,222,,531,6372,39,34,,
"0 Riverside Rd, Washington, IA 52353",52353,Unimproved Land,,,,,,,,,0,0,78,155,1787,1805
"4157 High St, West Des Moines, IA 50265",50265,,,,,,,,,,,,1,34,,
"102 3rd Ave, Royal, IA 51357",51357,Single Family Residence,1900,Forced Air,Central Air,1,,14810,31,,64,765,35,,,
"10225 Powell Ave, Johnston, IA 50131",10225,Single Family Residence,2021,Forced Air Gas Natural Gas,Central Air,2,150,7405,298,,808,9698,6,,1805,1198
"184 Aspen Dr, Norwalk, IA 50211",50211,,,,,,,,,,,,14,59,1198,750
"4720 W 12th St, Davenport, IA 52804",52804,Single Family Residence,2020,Natural Gas Forced Air,,,,7840,216,,638,7650,8,137,750,3827
"5322 Ingersoll Ave APT B 5, Des Moines, IA 50312",50312,Townhouse,1971,Forced Air Gas Natural Gas,Central Air,,230,,119,,227,2728,31,58,3827,4091
"174 Aspen Dr, Norwalk, IA 50211",50211,,,,,,,,,,,,14,59,4091,750
"5688 Brook View Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,134,1606,7,148,750,4091
"711 Elm St, Harlan, IA 51537",51537,Single Family Residence,1948,Forced Air,Central Air,1,,10454,55,,210,2524,40,54,,
"809 6th Ave, Council Bluffs, IA 51501",51501,MULTI_FAMILY,1910,Gas,Central,,,,63,,351,4208,76,120,4091,5845
"35 SE Melrose Dr, Waukee, IA 50263",50263,Townhouse,2000,Electric Forced Air Gas,Central Air,2,200,2613,156,,380,4564,39,8,5845,759
"5653 Leyden Ave, Des Moines, IA 50317",50317,Unimproved Land,,,,,,,,,147,1760,18,148,759,4091
"305 NE Bel Aire Rd, Ankeny, IA 50021",50021,Single Family Residence,1963,Forced Air Gas Natural Gas,Central Air,2,,10018,283,,520,6245,64,24,,
"950 Black Bear Bnd, North Liberty, IA 52317",52317,Single Family Residence,2005,Forced Air Natural Gas,Ceiling Fan(s) Central Air Electric,3,,,153,,818,9815,30,14,4091,602
"2825 George W Carver Ave, Ames, IA 50010",50010,SINGLE_FAMILY,1930,Gas,Central,1,,29621,170,,563,6758,46,12,602,1716
"2916 Cornell Ave, Iowa City, IA 52245",52245,Single Family Residence,1966,Forced Air Natural Gas,Ceiling Fan(s) Central Air Electric,2,,,151,,573,6872,32,27,1716,1618
"1255 29th St NE, Cedar Rapids, IA 52402",52402,Single Family Residence,1956,Natural Gas,Ceiling Fan(s) Central Air,1,,10018,104,,467,5607,43,37,1618,3336
"7204 Franklin Ave, Windsor Heights, IA 50324",50324,Single Family Residence,1962,Forced Air Gas Natural Gas,Central Air,2,,12197,124,,631,7574,42,68,,
"3805 10th St, Des Moines, IA 50313",50313,Single Family Residence,1915,Forced Air Gas,Central Air Window Unit(s),1,,5227,182,,361,4333,71,154,3336,4091
"2867 Spring Rose Cir, Coralville, IA 52241",52241,Single Family Residence,2020,Central Forced Air Natural Gas,Ceiling Fan(s) Central Air,1,405,,165,,1307,15680,12,11,4091,3127
"527 Highview St, Nevada, IA 50201",50201,Single Family Residence,1965,Hot Water,Window Unit(s),2,,13504,157,,467,5607,19,39,3127,1260
"103 Carson Ave, Iowa Falls, IA 50126",50126,Single Family Residence,1951,Forced Air,Central Air,1,,6534,60,,170,2037,24,133,1260,1658
"4462 32nd St, Grinnell, IA 50112",50112,Single Family Residence,1900,Forced Air Gas Propane,Central Air,2,,26572,173,,595,7137,1,63,1658,1789
"1914 E 14th St, Davenport, IA 52803",52803,Single Family Residence,1900,Natural Gas Forced Air,Window Unit(s),,,4791,35,,127,1527,61,46,1789,3827
"50848 740th St, Anita, IA 50020",50848,Single Family Residence,1917,Forced Air Gas Propane,Central Air,,,214315,99,,380,4564,0,,,
"1076 Highway 6, West Liberty, IA 52776",52776,Single Family Residence,1912,Natural Gas Radiant,None,,,342382,159,,593,7114,65,128,,
"409 Iowa St, Hills, IA 52235",52235,Single Family Residence,1950,Central Forced Air Natural Gas,Central Air Electric,2,,10018,133,,393,4718,14,,,
"2606 Knollcrest Dr, Burlington, IA 52601",52601,Single Family Residence,1960,Radiant,Window Unit(s),2,,35719,106,,297,3567,74,153,,
"8 Julien Dubuque Dr, Dubuque, IA 52003",52003,SINGLE FAMILY - DETACHED,1973,Forced Air,Central Air,2,,7405,152,,584,7010,7,46,3827,1637
"215 Broad St, Grinnell, IA 50112",50112,Single Family Residence,1964,Forced Air Gas Natural Gas,Central Air,,,10454,116,,244,2932,58,63,1637,1789
"0 Marigold Blvd, Fairfield, IA 52556",52556,,,,,,,,,,,,31,72,,
"631 Bethel Rd, Postville, IA 52162",52162,Unimproved Land,1919,Propane Leased Wood,Central Air,3,,,173,,956,11475,0,,,
"620 W Boone St, Marshalltown, IA 50158",50158,Single Family Residence,1910,Forced Air,Central Air,,,10890,40,,149,1782,63,79,1789,2496
"116 W 3rd St, Spencer, IA 51301",51301,Duplex,1910,Boiler,Window Unit(s),,,,46,,319,3822,71,140,2496,1662
"2391 Rookwood Ln, Marion, IA 52302",52302,,,,,,,,,,,,4,33,1662,1278
"214 Cedar St, Stockport, IA 52651",52651,Single Family Residence,1975,Baseboard,None,,,18295,33,,95,1145,7,,,
"3091 Duckhorn Cv, Marion, IA 52302",52302,Condominium,2021,Forced Air Gas,Central Air,2,125,,238,,665,7982,0,33,1278,1278
"2110 D Ave NE, Cedar Rapids, IA 52402",52402,Single Family Residence,1928,Forced Air Gas,Central Air,1,,6534,120,,298,3570,34,37,1278,3336
"5507 SE 1st Ct, Des Moines, IA 50315",50315,Single Family Residence,1976,Forced Air Gas Natural Gas,Central Air,1,,8712,235,,446,5352,23,21,3336,4091
"415 SW 60th St, Des Moines, IA 50312",50312,Single Family Residence,1958,Electric Forced Air,Central Air,,,7840,113,,287,3442,44,58,4091,4091
"306 Oak Ave, Schleswig, IA 51461",51461,Single Family Residence,1972,Forced Air,Central Air,1,,12632,57,,302,3621,20,,,
"103 High St, Lake View, IA 51450",51450,Single Family Residence,1942,Forced Air,Central Air,2,,10018,45,,147,1760,45,,,
